NO. ,DOI Number,Author,Publication Date,Chemical Formula,Material,Metal,A Cation,ETL,Substrate,Solvent,Full Device,Perovskite Thickness (nm),Temperature Fabrication,Relative Humidity,Bandgap,Open-Circuit Voltage (Voc),Short-Circuit Current Density (Jsc),Fill Factor (FF),PCE%
1,10.1021/jacs.5b11740,Quan et al.,3/2/2016,(PEA)MAPbI,Phenylethylammonium Methylammonium Lead Iodide - ((PEA)MAPbI),Au,(PEA); MA,TiO2-c,SLG | FTO,DMF,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,200,100,30,1.66,1.16,18.66,0.644,13.89
2,10.1021/jacs.5b11740,Quan et al.,03/02/2016,(PEA)MAPbI,Phenylethylammonium Methylammonium Lead Iodide,Au,(PEA); MA,TiO2-c,SLG | FTO,DMF,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,450,200,35,1.65,1.06,22.45,0.773,18.4
3,10.1021/jacs.5b11740,Quan et al.,03/02/2016,(TFEA)CsFAMAPbBrI,Tetrafluoroethylammonium Cesium Formamidinium Methylammonium Lead Bromide Iodide,Au,(TFEA); Cs; FA; MA,TiO2-c | TiO2-mp,SLG | FTO,DMF; DMSO,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,500,135,25,1.667,1.097,21.25,0.787,18.24
4,10.1039/c6ta09582h,Liao et al.,19/12/2016,BACsPbI,Butylammonium Cesium Lead Iodide - (BACsPbI),Au,BA; Cs,TiO2-np,SLG | FTO,DMSO,SLG | FTO | TiO2-np | Perovskite | Spiro-MeOTAD | Au,500,120,30,2.2,0.957,8.88,0.57,0.48
5,10.1039/c6ra28190g,Kulkarni et al.,31/01/2017,MABiI,Methylammonium Bismuth Iodide - (MABiI),Au,MA,TiO2-c | TiO2-mp,SLG | FTO,DMF,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,500,120,35,1.9,0.51,0.94,0.61,0.31
6,10.1039/c6ra28190g,Kulkarni et al.,31/01/2017,MABiI,Methylammonium Bismuth Iodide - (MABiI),Au,MA,TiO2-c | TiO2-mp,SLG | FTO,DMF,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,500,120,35,1.9,0.53,0.68,0.53,0.19
7,10.1002/aenm.201701038,Bai et al.,14/07/2017,(PEA)MAPbI,Phenylethylammonium Methylammonium Lead Iodide,Ag,(PEA); MA,PCBM-60 | P4N4,SLG | FTO,DMF; DMSO,SLG | FTO | NiO-c | Perovskite | PCBM-60 | PN4N | Ag,500,90,25,1.59,1.17,21.8,0.78,19.85
8,10.1021/acsami.7b07780,Koh et al.,11/08/2017,(CHMA)MAPbI,Cyclohexylmethylammonium Methylammonium Lead Iodide - ((CHMA)MAPbI),Au,(CHMA); MA,TiO2-c | TiO2-mp,SLG | FTO,DMF,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,500,190,30,1.63,0.761,12.46,0.586,5.55
9,10.1021/acsami.7b07780,Koh et al.,11/08/2017,(CHMA)MAPbI,Cyclohexylmethylammonium Methylammonium Lead Iodide - ((CHMA)MAPbI),Au,(CHMA); MA,TiO2-c | TiO2-mp,SLG | FTO,DMF,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,500,120,30,1.65,0.735,10.65,0.485,3.78
10,10.1039/c7ee01145h,Zhang et al.,15/08/2017,BACsMAPbI,Butylammonium Cesium Methylammonium Lead Iodide - (BACsMAPbI),Au,BA; Cs; MA,TiO2-c,SLG | FTO,DMF; DMSO,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,480,75,20,1.63,1.04,19,0.58,11.6
